0.134741,0.117272
0.115232,0.120875
0.179508,0.12181
0.355585,0.356432
0.325107,0.318617
0.22832,0.21174
0.238007,0.237883
0.175789,0.17575
0.206638,0.205709
0.179295,0.172595
0.249771,0.220177
0.26009,0.261656
0.264998,0.27413
0.254195,0.288639
0.25901,0.285038
0.194844,0.226802
0.180909,0.214241
0.16976,0.180111
0.140769,0.133747
0.147362,0.138418
0.167757,0.144428
0.342194,0.31856
0.305249,0.345867
0.266522,0.248697
0.185613,0.180913
0.223887,0.223956
0.211368,0.188898
0.220993,0.198942
0.183281,0.144572
0.134155,0.128256
0.282012,0.266447
